,date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,High,Low,Open,Close,Volume,Adj Close
697,2018-10-09,-0.18,-0.39,0.17,-0.49,0.2,0.008,-0.154571937269178,268.760009765625,262.79998779296875,264.94000244140625,265.5400085449219,6837500.0,263.9642028808594
698,2018-10-10,-3.33,0.4,1.15,0.23,0.78,0.008,-0.154109966935381,263.1099853515625,245.60000610351562,261.260009765625,245.69000244140625,17123500.0,244.23196411132812
699,2018-10-11,-1.96,0.35,-0.88,0.42,-0.57,0.008,-0.153514431833998,247.55999755859375,234.25999450683594,242.1699981689453,235.1300048828125,18135900.0,233.73463439941406
700,2018-10-12,1.38,-1.11,-1.69,0.07,-0.48,0.008,-0.152785260697793,249.5399932861328,239.64999389648438,245.50999450683594,246.5399932861328,15205900.0,245.07691955566406
701,2018-10-15,-0.48,0.99,0.47,0.38,0.5,0.008,-0.149642571863451,246.0,235.33999633789062,246.0,235.3800048828125,11244000.0,233.983154296875
702,2018-10-16,2.24,0.56,-1.46,-0.19,-0.68,0.008,-0.14803461050219,246.27999877929688,237.94000244140625,239.92999267578125,245.8300018310547,10217800.0,244.37115478515625
703,2018-10-17,-0.08,-0.6,0.19,-0.26,0.14,0.008,-0.146101568773602,249.8800048828125,241.0800018310547,248.33999633789062,243.05999755859375,8241700.0,241.61756896972656
704,2018-10-18,-1.54,-0.54,0.53,-0.4,0.35,0.008,-0.143843215352042,247.41000366210938,237.08999633789062,245.86000061035156,239.52999877929688,13100500.0,238.10853576660156
705,2018-10-19,-0.25,-1.25,0.8,0.39,0.55,0.008,-0.141259279982059,242.5500030517578,227.6999969482422,241.75999450683594,229.1699981689453,15340200.0,227.8100128173828
706,2018-10-22,-0.38,0.33,-1.19,1.09,-0.18,0.008,-0.131589076936589,235.32000732421875,227.07000732421875,231.27999877929688,231.22000122070312,9221100.0,229.8478546142578
707,2018-10-23,-0.62,-0.21,-0.33,0.14,-0.11,0.008,-0.127982885406443,224.19000244140625,216.7100067138672,220.42999267578125,221.05999755859375,15660900.0,219.74813842773438
708,2018-10-24,-3.33,-0.81,0.64,0.3,1.26,0.008,-0.124294381386625,221.38999938964844,198.85000610351562,219.50999450683594,199.41000366210938,22107200.0,198.2266082763672
709,2018-10-25,1.93,0.32,-0.73,-0.15,-1.08,0.008,-0.120523123476642,209.75,193.67999267578125,195.47000122070312,207.83999633789062,23793000.0,206.6065673828125
710,2018-10-26,-1.65,0.57,0.37,-0.36,0.51,0.008,-0.116668660372903,204.83999633789062,193.1199951171875,198.30999755859375,198.2899932861328,16619600.0,197.11325073242188
711,2018-10-29,-0.77,-0.08,1.64,-0.05,0.98,0.008,-0.104394591690247,204.1300048828125,176.00999450683594,203.99000549316406,185.6199951171875,18950400.0,184.51844787597656
712,2018-10-30,1.66,0.44,0.1,0.36,0.36,0.008,-0.0999320105896303,203.39999389648438,185.6199951171875,186.5500030517578,203.0,20179800.0,201.79530334472656
713,2018-10-31,1.22,-0.72,-0.69,-0.32,-0.94,0.008,-0.0953199861935158,212.58999633789062,204.00999450683594,209.64999389648438,210.8300018310547,18644300.0,209.578857421875
714,2018-11-01,1.29,1.19,-1.11,-0.2,-0.51,0.008,-0.0905579665844226,218.49000549316406,207.19000244140625,212.3000030517578,218.11000061035156,14163200.0,216.8156280517578
715,2018-11-02,-0.53,0.86,0.64,-0.41,0.23,0.008,-0.0856720547658281,222.0,210.2100067138672,217.72999572753906,214.9199981689453,11324000.0,213.64456176757812
716,2018-11-05,0.4,-0.88,1.56,-0.52,0.77,0.008,-0.0724649930513655,215.3300018310547,205.27999877929688,214.38999938964844,211.77000427246094,9483300.0,210.51327514648438
